player_id,player_name,order,team,opp_pitcher,matchup,season_iso,drought_games,scale_lambda,hazard_prob,hazard_score,target_call,rank
642715,Willy Adames,3,San Francisco Giants,Patrick Sandoval (LHP),R vs L,0.19,0,10.1,8.0,16.0,🔄 RECENT RESET: Just Homered,147
805811,Bryce Eldridge,4,San Francisco Giants,Patrick Sandoval (LHP),L vs L,0.188,0,10.2,8.0,16.0,🔄 RECENT RESET: Just Homered,148
678545,Osleivis Basabe,5,San Francisco Giants,Patrick Sandoval (LHP),R vs L,0.162,0,11.9,8.0,16.0,🔄 RECENT RESET: Just Homered,149
808982,Jung Hoo Lee,6,San Francisco Giants,Patrick Sandoval (LHP),L vs L,0.139,0,13.8,8.0,16.0,🔄 RECENT RESET: Just Homered,150
683766,Christian Koss,7,San Francisco Giants,Patrick Sandoval (LHP),R vs L,0.054,0,24.0,8.0,16.0,🔄 RECENT RESET: Just Homered,151
687551,Drew Gilbert,8,San Francisco Giants,Patrick Sandoval (LHP),L vs L,0.137,0,14.0,8.0,16.0,🔄 RECENT RESET: Just Homered,152
668800,Andrew Knizner,9,San Francisco Giants,Patrick Sandoval (LHP),R vs L,0.05,0,24.0,8.0,16.0,🔄 RECENT RESET: Just Homered,153
686765,Nick Sogard,1,Boston Red Sox,Blade Tidwell (RHP),S vs R,0.104,0,18.5,8.0,16.0,🔄 RECENT RESET: Just Homered,154
678882,Ceddanne Rafaela,2,Boston Red Sox,Blade Tidwell (RHP),R vs R,0.177,0,10.8,8.0,16.0,🔄 RECENT RESET: Just Homered,155
677800,Wilyer Abreu,3,Boston Red Sox,Blade Tidwell (RHP),L vs R,0.213,0,9.0,8.0,16.0,🔄 RECENT RESET: Just Homered,156
575929,Willson Contreras,4,Boston Red Sox,Blade Tidwell (RHP),R vs R,0.256,0,7.5,8.0,16.0,🔄 RECENT RESET: Just Homered,157
668939,Adley Rutschman,5,Boston Red Sox,Blade Tidwell (RHP),S vs R,0.129,0,14.9,8.0,16.0,🔄 RECENT RESET: Just Homered,158
702332,Caleb Durbin,6,Boston Red Sox,Blade Tidwell (RHP),R vs R,0.147,0,13.1,8.0,16.0,🔄 RECENT RESET: Just Homered,159
680776,Jarren Duran,7,Boston Red Sox,Blade Tidwell (RHP),L vs R,0.156,0,12.3,8.0,16.0,🔄 RECENT RESET: Just Homered,160
655316,Andruw Monasterio,8,Boston Red Sox,Blade Tidwell (RHP),R vs R,0.161,0,11.9,8.0,16.0,🔄 RECENT RESET: Just Homered,161
681508,Mickey Gasper,9,Boston Red Sox,Blade Tidwell (RHP),S vs R,0.133,0,14.4,8.0,16.0,🔄 RECENT RESET: Just Homered,162
667472,Dane Myers,1,Cincinnati Reds,Michael Soroka (RHP),R vs R,0.11,0,17.5,8.0,16.0,🔄 RECENT RESET: Just Homered,163
682829,Elly De La Cruz,2,Cincinnati Reds,Michael Soroka (RHP),S vs R,0.206,0,9.3,8.0,16.0,🔄 RECENT RESET: Just Homered,164
553993,Eugenio Suárez,3,Cincinnati Reds,Michael Soroka (RHP),R vs R,0.204,0,9.4,8.0,16.0,🔄 RECENT RESET: Just Homered,165
699302,Héctor Rodríguez,4,Cincinnati Reds,Michael Soroka (RHP),L vs R,0.05,0,24.0,8.0,16.0,🔄 RECENT RESET: Just Homered,166
668709,JJ Bleday,5,Cincinnati Reds,Michael Soroka (RHP),L vs R,0.211,0,9.1,8.0,16.0,🔄 RECENT RESET: Just Homered,167
624431,Jose Trevino,6,Cincinnati Reds,Michael Soroka (RHP),R vs R,0.143,0,13.4,8.0,16.0,🔄 RECENT RESET: Just Homered,168
663647,Ke'Bryan Hayes,7,Cincinnati Reds,Michael Soroka (RHP),R vs R,0.102,0,18.8,8.0,16.0,🔄 RECENT RESET: Just Homered,169
680574,Matt McLain,8,Cincinnati Reds,Michael Soroka (RHP),R vs R,0.156,0,12.3,8.0,16.0,🔄 RECENT RESET: Just Homered,170
669911,Michael Toglia,9,Cincinnati Reds,Michael Soroka (RHP),S vs R,0.077,0,24.0,8.0,16.0,🔄 RECENT RESET: Just Homered,171
663457,Lars Nootbaar,1,Arizona Diamondbacks,Rhett Lowder (RHP),L vs R,0.12,0,16.0,8.0,16.0,🔄 RECENT RESET: Just Homered,172
